symbol1,symbol2,rho
Arntl,Clock,0.7095003020899308
Arntl,Cry1,0.2710740805224267
Arntl,Cry2,-0.6202985805802091
Arntl,Dbp,-0.9105497134032847
Arntl,Npas2,0.748605762499504
Arntl,Nr1d1,-0.6138437385267186
Arntl,Nr1d2,-0.8584078300611022
Arntl,Per1,-0.757488297648831
Arntl,Per2,-0.5643933611197335
Arntl,Per3,-0.8213046309131692
Arntl,Tef,-0.8378611751724021
Clock,Arntl,0.7095003020899308
Clock,Cry1,0.09176637006870582
Clock,Cry2,-0.5636221853322873
Clock,Dbp,-0.6176065187012294
Clock,Npas2,0.5927159274092657
Clock,Nr1d1,-0.3170087139805505
Clock,Nr1d2,-0.5927613174354011
Clock,Per1,-0.6434690428716424
Clock,Per2,-0.4997367712789282
Clock,Per3,-0.6619827636110062
Clock,Tef,-0.7365068982636236
Cry1,Arntl,0.2710740805224267
Cry1,Clock,0.09176637006870582
Cry1,Cry2,0.0010515326956368912
Cry1,Dbp,-0.335355663875976
Cry1,Npas2,0.0653934979369551
Cry1,Nr1d1,-0.700006541501364
Cry1,Nr1d2,-0.3872701881567575
Cry1,Per1,-0.1208832978515682
Cry1,Per2,0.2570132729433566
Cry1,Per3,-0.03986066155492686
Cry1,Tef,-0.07317809189569845
Cry2,Arntl,-0.6202985805802091
Cry2,Clock,-0.5636221853322873
Cry2,Cry1,0.0010515326956368912
Cry2,Dbp,0.6382988649235003
Cry2,Npas2,-0.5840976645448491
Cry2,Nr1d1,0.28081433510765796
Cry2,Nr1d2,0.6075465778958296
Cry2,Per1,0.6633205433948538
Cry2,Per2,0.5774959234639914
Cry2,Per3,0.6480130552427099
Cry2,Tef,0.7477015852641621
Dbp,Arntl,-0.9105497134032847
Dbp,Clock,-0.6176065187012294
Dbp,Cry1,-0.335355663875976
Dbp,Cry2,0.6382988649235003
Dbp,Npas2,-0.7398151385065587
Dbp,Nr1d1,0.710109745497455
Dbp,Nr1d2,0.9071559787669702
Dbp,Per1,0.7747858102950126
Dbp,Per2,0.5238981201825786
Dbp,Per3,0.8099729239939597
Dbp,Tef,0.8308073358926321
Npas2,Arntl,0.748605762499504
Npas2,Clock,0.5927159274092657
Npas2,Cry1,0.0653934979369551
Npas2,Cry2,-0.5840976645448491
Npas2,Dbp,-0.7398151385065587
Npas2,Nr1d1,-0.34543598719018254
Npas2,Nr1d2,-0.7314420257299542
Npas2,Per1,-0.6404864766877999
Npas2,Per2,-0.684458087262147
Npas2,Per3,-0.7657991544858019
Npas2,Tef,-0.7752990711465588
Nr1d1,Arntl,-0.6138437385267186
Nr1d1,Clock,-0.3170087139805505
Nr1d1,Cry1,-0.700006541501364
Nr1d1,Cry2,0.28081433510765796
Nr1d1,Dbp,0.710109745497455
Nr1d1,Npas2,-0.34543598719018254
Nr1d1,Nr1d2,0.6661337549806735
Nr1d1,Per1,0.40700436115708966
Nr1d1,Per2,-0.08189811818256569
Nr1d1,Per3,0.3580216164508843
Nr1d1,Tef,0.38222771773581304
Nr1d2,Arntl,-0.8584078300611022
Nr1d2,Clock,-0.5927613174354011
Nr1d2,Cry1,-0.3872701881567575
Nr1d2,Cry2,0.6075465778958296
Nr1d2,Dbp,0.9071559787669702
Nr1d2,Npas2,-0.7314420257299542
Nr1d2,Nr1d1,0.6661337549806735
Nr1d2,Per1,0.7134303578009206
Nr1d2,Per2,0.5225981622667957
Nr1d2,Per3,0.7757154253322541
Nr1d2,Tef,0.7396921281298114
Per1,Arntl,-0.757488297648831
Per1,Clock,-0.6434690428716424
Per1,Cry1,-0.1208832978515682
Per1,Cry2,0.6633205433948538
Per1,Dbp,0.7747858102950126
Per1,Npas2,-0.6404864766877999
Per1,Nr1d1,0.40700436115708966
Per1,Nr1d2,0.7134303578009206
Per1,Per2,0.6004586168506314
Per1,Per3,0.7654586715228033
Per1,Tef,0.7866160592129606
Per2,Arntl,-0.5643933611197335
Per2,Clock,-0.4997367712789282
Per2,Cry1,0.2570132729433566
Per2,Cry2,0.5774959234639914
Per2,Dbp,0.5238981201825786
Per2,Npas2,-0.684458087262147
Per2,Nr1d1,-0.08189811818256569
Per2,Nr1d2,0.5225981622667957
Per2,Per1,0.6004586168506314
Per2,Per3,0.7631384030575645
Per2,Tef,0.7314504534544193
Per3,Arntl,-0.8213046309131692
Per3,Clock,-0.6619827636110062
Per3,Cry1,-0.03986066155492686
Per3,Cry2,0.6480130552427099
Per3,Dbp,0.8099729239939597
Per3,Npas2,-0.7657991544858019
Per3,Nr1d1,0.3580216164508843
Per3,Nr1d2,0.7757154253322541
Per3,Per1,0.7654586715228033
Per3,Per2,0.7631384030575645
Per3,Tef,0.8600669000842733
Tef,Arntl,-0.8378611751724021
Tef,Clock,-0.7365068982636236
Tef,Cry1,-0.07317809189569845
Tef,Cry2,0.7477015852641621
Tef,Dbp,0.8308073358926321
Tef,Npas2,-0.7752990711465588
Tef,Nr1d1,0.38222771773581304
Tef,Nr1d2,0.7396921281298114
Tef,Per1,0.7866160592129606
Tef,Per2,0.7314504534544193
Tef,Per3,0.8600669000842733
