symbol1,Arntl,Npas2,Clock,Cry1,Cry2,Nr1d1,Nr1d2,Per1,Per2,Per3,Dbp,Tef
Arntl,NA,0.7754709004193397,0.7249285525930265,0.27817941734825,-0.6363768091152799,-0.6037514051847261,-0.8614805872675428,-0.7471112270277356,-0.5945528630679193,-0.823418212544465,-0.9146446580320629,-0.8473980357473699
Npas2,0.7754709004193397,NA,0.6343961275585874,0.07402796765934631,-0.6263229987696222,-0.3498755031422754,-0.7461844309036201,-0.6450779504073073,-0.7086572507645479,-0.7845410222647868,-0.7654845391069139,-0.7983426906678266
Clock,0.7249285525930265,0.6343961275585874,NA,0.06541973887685623,-0.5972756017941481,-0.3002463589006351,-0.6031794883488697,-0.6364952995268504,-0.5695840536120815,-0.7144611850829129,-0.645511131925004,-0.7595101095772043
Cry1,0.27817941734825,0.07402796765934631,0.06541973887685623,NA,-0.012457650804017978,-0.7225359580320011,-0.40990436181618845,-0.1411755648029434,0.25538495810553313,-0.02528160413657544,-0.3401804672897463,-0.07811010288865948
Cry2,-0.6363768091152799,-0.6263229987696222,-0.5972756017941481,-0.012457650804017978,NA,0.28367323665722516,0.6234166103745656,0.6454257049601584,0.5951065281741664,0.6712805988777188,0.6618797053386846,0.7597038128475304
Nr1d1,-0.6037514051847261,-0.3498755031422754,-0.3002463589006351,-0.7225359580320011,0.28367323665722516,NA,0.6772738906964219,0.42422234261510466,-0.06776682386516979,0.336626676466772,0.6955807306126488,0.3810190556260799
Nr1d2,-0.8614805872675428,-0.7461844309036201,-0.6031794883488697,-0.40990436181618845,0.6234166103745656,0.6772738906964219,NA,0.7132144125724547,0.5292359564951081,0.7673822369494325,0.9111477553295785,0.7487607429844136
Per1,-0.7471112270277356,-0.6450779504073073,-0.6364952995268504,-0.1411755648029434,0.6454257049601584,0.42422234261510466,0.7132144125724547,NA,0.6079440950872126,0.7467578670868107,0.7732704055570547,0.7756198279902018
Per2,-0.5945528630679193,-0.7086572507645479,-0.5695840536120815,0.25538495810553313,0.5951065281741664,-0.06776682386516979,0.5292359564951081,0.6079440950872126,NA,0.7868301863101547,0.5543211162081426,0.7530873999396855
Per3,-0.823418212544465,-0.7845410222647868,-0.7144611850829129,-0.02528160413657544,0.6712805988777188,0.336626676466772,0.7673822369494325,0.7467578670868107,0.7868301863101547,NA,0.8117621483013249,0.8738338205271359
Dbp,-0.9146446580320629,-0.7654845391069139,-0.645511131925004,-0.3401804672897463,0.6618797053386846,0.6955807306126488,0.9111477553295785,0.7732704055570547,0.5543211162081426,0.8117621483013249,NA,0.8443479194909007
Tef,-0.8473980357473699,-0.7983426906678266,-0.7595101095772043,-0.07811010288865948,0.7597038128475304,0.3810190556260799,0.7487607429844136,0.7756198279902018,0.7530873999396855,0.8738338205271359,0.8443479194909007,NA
